;Time;Coal_prices;Gas_prices;Demand_GWh;Solar_Production_GWh;Wind_Production_GWh;Production_GWh;CO2_CA;CO2_RGGI
0;2008.9166666666667;43.29999999999981;6.440700000000085;343898.2544690036;0.2794312520908006;187.07892492831553;167784302.6089999;0.0;3.725812395
1;2009.0;44.56999999999975;5.480700000000049;354992.6362090055;0.08475030284301593;149.54762250061745;171925150.33599997;0.0;3.725812395
2;2009.0833333333333;45.56999999999975;4.799899999999981;300887.3976910037;0.4232773618339532;158.39967286741057;140915784.75499988;0.0;3.725812395
3;2009.1666666666667;43.95999999999935;4.577200000000056;310602.9638090054;1.0796660970149248;173.90531891915398;135530327.79799998;0.0;3.869112872
4;2009.25;44.020000000000095;4.583200000000027;289537.25512999506;1.380756951672863;186.58303220074396;125934973.12299988;0.0;3.869112872
5;2009.3333333333333;43.630000000000145;4.509199999999971;311305.87215000374;1.5377856583541156;153.17435366832908;131673057.522;0.0;3.869112872
6;2009.4166666666667;42.740000000000585;4.355100000000087;347658.24125900184;1.4716176928838949;123.3612721348314;148086771.1049999;0.0;3.560465691
7;2009.5;43.43999999999961;4.195200000000079;372542.2255370016;1.718510946517411;108.87849531965145;158233869.11799997;0.0;3.560465691
8;2009.5833333333333;42.72000000000047;3.925000000000044;381221.4169309983;1.6168903680297413;122.44289205452242;163260483.07799983;0.0;3.560465691
9;2009.6666666666667;42.49000000000059;4.931199999999991;327400.61188700213;1.3184971712158813;103.03423721091806;137144647.97999996;0.0;2.061322242
10;2009.75;41.65999999999995;4.95179999999993;307040.3406549992;1.0048784720496902;169.9144294409938;139955577.3769999;0.0;2.061322242
11;2009.8333333333333;41.52999999999955;6.106300000000013;296634.66996399395;0.6037000224438893;179.79774871945065;136809575.2080002;0.0;2.061322242
12;2009.9166666666667;43.38999999999959;6.829399999999945;350507.29526600055;0.32701263275434234;193.43178613523494;166434035.55499986;0.0;2.050299129
13;2010.0;44.36999999999989;6.142799999999983;360957.1669470055;0.18963684893882632;195.9911381672907;173320160.91300014;0.0;2.050299129
14;2010.0833333333333;45.580000000000936;5.360599999999979;319734.72666499746;0.49500750807453453;155.6807056062109;153044159.09100008;0.0;2.050299129
