;Time;State;Coal_prices;Gas_prices;Demand_GWh;Solar_Production_GWh;Wind_Production_GWh;Production_GWh;Gas_Production_GWh;Gas_Plants;Total_Production_GWh;Plant_Id;Ratio
3935;2015.75;WA;40.98;2.6913;311127.1986670004;0.056;577.859632;652893.786;1530072.1520000002;34.0;8261921.809000002;3;0.0790244450496711
3936;2015.75;WI;40.98000000000001;2.6912999999999987;311127.1986670005;0.10655100000000003;159.52509;2878927.4309999994;1003598.021;73.0;4893694.933999997;38;0.5882931955970595
3937;2015.75;WV;40.980000000000004;2.691299999999999;311127.19866700034;0.0;122.011;3435832.1509999996;158567.405;9.0;3821560.6479999996;20;0.8990651902379543
3938;2015.75;WY;40.980000000000004;2.691299999999999;311127.19866700046;0.0;284.48690799999997;3521859.218;68231.73799999998;23.0;3948227.9079999994;14;0.892010111894483
3939;2015.8333333333333;AK;41.15;2.6244;298716.9320280007;0.0;18.436511;66294.835;247309.38899999997;24.0;555101.4700000001;7;0.11942831821360515
3940;2015.8333333333333;AL;41.14999999999999;2.6244000000000005;298716.9320280007;0.0;0.0;2607974.794;4381943.508;60.0;11673056.905;17;0.2234183226574445
3941;2015.8333333333333;AR;41.15;2.6244;298716.9320280007;0.0;0.0;1100911.495;721318.4539999999;32.0;3087798.4160000007;6;0.3565360644319988
3942;2015.8333333333333;AZ;41.15;2.6244;298716.9320280007;239.48164400000002;55.78768300000001;2521600.46;2355352.3309999993;57.0;7950304.821999999;9;0.3171702867319318
3943;2015.8333333333333;CA;41.15;2.6244;298716.9320280007;1049.889448;614.483188;0.0;8683118.458999999;448.0;13973275.200000012;5;0.0
3944;2015.8333333333333;CO;41.14999999999999;2.6244000000000005;298716.9320280007;17.622263000000007;657.1768670000001;2146709.7260000003;1311406.6630000002;58.0;4140974.665000002;16;0.5184068726969618
3945;2015.8333333333333;CT;41.15;2.6244;298716.9320280007;1.2015329999999997;0.0;0.0;1460475.3219999997;54.0;2871658.013;7;0.0
3946;2015.8333333333333;DE;41.15;2.6244;298716.9320280007;2.421116;0.566013;21196.918;363453.215;15.0;422324.51499999996;3;0.05019106693344573
3947;2015.8333333333333;FL;41.149999999999984;2.624400000000001;298716.9320280008;11.028866999999996;0.0;2904433.185;11939091.558999997;150.0;17727914.278999988;23;0.1638338915278101
3948;2015.8333333333333;GA;41.149999999999984;2.624400000000001;298716.9320280009;7.628092000000001;0.0;1367926.984;3979652.7710000016;61.0;9159392.61399999;24;0.1493469099587613
3949;2015.8333333333333;HI;41.15;2.6244;298716.9320280007;4.469034000000001;70.96409299999999;125265.15999999999;;;873715.4070000002;4;0.14337066623342715
3950;2015.8333333333333;IA;41.15000000000002;2.6243999999999987;298716.932028001;0.0;2044.4896739999983;1334866.349;73422.273;85.0;3981119.1189999995;37;0.335299273671394
3951;2015.8333333333333;ID;41.15;2.6244;298716.9320280007;0.0;224.775967;6249.657;316621.05199999997;13.0;1014346.5170000001;4;0.006161264316738418
3952;2015.8333333333333;IL;41.15000000000002;2.6243999999999987;298716.93202800094;3.458020000000002;1372.4207010000005;4935742.285999999;908623.4670000002;120.0;15242055.033999996;36;0.32382393811005056
3953;2015.8333333333333;IN;41.15000000000003;2.6243999999999983;298716.932028001;11.875776999999989;554.2480780000002;5096864.65;1429489.3779999998;56.0;7569423.906999996;38;0.6733490834469661
3954;2015.8333333333333;KS;41.14999999999999;2.6244000000000005;298716.9320280007;0.13063399999999997;1151.9871710000002;1161680.408;46561.583000000006;96.0;3254189.0059999996;12;0.35698000511283157
3955;2015.8333333333333;KY;41.14999999999999;2.6244000000000005;298716.9320280009;0.0;0.0;4260864.47;635057.572;21.0;5297240.402999999;25;0.8043555032138874
3956;2015.8333333333333;LA;41.15;2.6244;298716.9320280007;0.0;0.0;1005717.7609999999;5801043.338000001;98.0;8004819.386999998;9;0.12563903223516917
3957;2015.8333333333333;MA;41.15;2.6244;298716.9320280007;31.02565999999999;23.340199;206388.04799999998;1129591.83;68.0;2099650.7029999997;4;0.09829637268004192
3958;2015.8333333333333;MD;41.14999999999999;2.6244000000000005;298716.93202800065;8.089331999999999;53.091;598821.334;373043.02999999997;30.0;2493316.927999999;15;0.2401705644698532
3959;2015.8333333333333;ME;41.15;2.6244;298716.9320280007;0.0;167.355697;4346.595;296496.759;17.0;980643.8499999997;5;0.0044323889860727736
3960;2015.8333333333333;MI;41.15000000000004;2.6243999999999974;298716.932028001;0.15686200000000008;536.450987;4204690.203;1688601.0769999998;110.0;8953188.85100001;47;0.46963046049568863
3961;2015.8333333333333;MN;41.15;2.6244;298716.9320280009;0.186854;1103.2643859999998;2004976.2650000001;419179.50899999985;88.0;4582198.366999998;27;0.4375577188974196
3962;2015.8333333333333;MO;41.150000000000006;2.6243999999999996;298716.93202800094;1.366981;129.79401700000005;4462252.880999999;271570.21599999996;71.0;5830985.289;30;0.765265672924595
3963;2015.8333333333333;MS;41.15;2.6244;298716.9320280007;0.0;0.0;371686.386;3494640.615;53.0;4987450.108999999;8;0.07452433164780557
3964;2015.8333333333333;MT;41.15;2.6244;298716.9320280007;0.0;208.71758;1448251.273;53981.69;11.0;2401664.9129999997;8;0.6030197073541542
3965;2015.8333333333333;NC;41.149999999999984;2.624400000000001;298716.9320280009;75.75600600000001;0.0;1876047.6500000004;2738304.2899999996;39.0;9349398.933;24;0.20065970694417906
3966;2015.8333333333333;ND;41.14999999999999;2.6244000000000005;298716.9320280007;0.0;583.38285;2194584.277;11453.593;8.0;2913877.647;12;0.7531490827212485
3967;2015.8333333333333;NE;41.14999999999999;2.6244000000000005;298716.9320280007;0.0;316.353098;1648481.427;13726.662999999999;54.0;3028102.329;11;0.5443942271080364
3968;2015.8333333333333;NH;41.15;2.6244;298716.9320280007;0.0;42.62344400000001;7654.673000000001;535209.0229999999;9.0;1265919.873;2;0.006046727887966414
3969;2015.8333333333333;NJ;41.15;2.6244;298716.9320280007;36.88481800000002;2.283647;104902.83899999998;3183979.1890000002;82.0;5547816.827;9;0.018908850503041308
3970;2015.8333333333333;NM;41.15;2.6244;298716.9320280007;40.461656;224.3936;1778692.3850000002;702519.1579999999;35.0;2759401.643000001;4;0.6445935079846582
3971;2015.8333333333333;NV;41.15;2.6244;298716.9320280007;123.34536299999999;29.659;164954.16099999996;2170377.063;36.0;2973088.742;5;0.055482420914565476
3972;2015.8333333333333;NY;41.14999999999999;2.6244000000000005;298716.93202800077;5.617356999999999;414.540231;81578.427;3910231.094;153.0;10760810.137000006;18;0.007581067406765264
3973;2015.8333333333333;OH;41.150000000000034;2.624399999999998;298716.932028001;3.884530000000004;140.3370050000001;3679265.1420000005;2167978.9319999996;68.0;7906191.596000001;50;0.46536503667093776
3974;2015.8333333333333;OK;41.14999999999999;2.6244000000000005;298716.9320280007;0.2800000000000001;1586.7581969999999;1470117.6239999998;2827116.997;57.0;6047746.416999999;10;0.24308519614307103
3975;2015.8333333333333;OR;41.15;2.6244;298716.9320280007;1.674286;525.087508;301809.87;1237431.6389999997;30.0;4721771.499999999;2;0.0639187792124206
3976;2015.8333333333333;PA;41.15000000000004;2.6243999999999974;298716.932028001;3.869340999999999;363.15508100000034;4212180.9520000005;4793530.551000001;88.0;16369109.540999992;48;0.2573249901865265
3977;2015.8333333333333;SC;41.14999999999999;2.6244000000000005;298716.9320280007;0.20914700000000008;0.0;1341231.609;1648211.7249999996;36.0;6969146.672000001;16;0.19245277393696955
3978;2015.8333333333333;SD;41.15;2.6244;298716.9320280007;0.0;251.42178;181806.88;56556.993;9.0;839755.3439999999;2;0.21649981902347978
3979;2015.8333333333333;TN;41.14999999999999;2.6244000000000005;298716.9320280007;5.246446000000001;4.918999999999999;1569150.494;720824.395;20.0;4977745.008;17;0.31523320127449966
3980;2015.8333333333333;TX;41.150000000000006;2.6243999999999996;298716.93202800094;22.275089999999988;4722.372363000001;7957688.275000001;16284556.947;278.0;31726551.192000013;29;0.250821093879456
3981;2015.8333333333333;UT;41.15;2.6244;298716.9320280007;2.943928;52.96591;1401816.04;716145.1420000001;31.0;2278294.605000001;9;0.615291822630638
3982;2015.8333333333333;VA;41.15;2.6244;298716.9320280009;0.0;0.0;1111068.646;2198638.4129999997;49.0;5379583.950999998;27;0.20653430750782617
3983;2015.8333333333333;WA;41.15;2.6244;298716.9320280007;0.043000000000000003;607.872872;507525.01900000003;1434582.061;34.0;8950324.303000001;3;0.056704651342062096
3984;2015.8333333333333;WI;41.15000000000003;2.6243999999999983;298716.932028001;0.09763000000000006;197.710153;2485859.268;1006504.251;73.0;4991653.982999999;38;0.49800312210462777
3985;2015.8333333333333;WV;41.14999999999999;2.6244000000000005;298716.9320280008;0.0;146.65000000000003;4932406.249999999;76870.67;9.0;5308268.635;20;0.929193036214905
3986;2015.8333333333333;WY;41.14999999999999;2.6244000000000005;298716.9320280007;0.0;444.70222900000005;3471052.292;68985.16;23.0;4071184.4539999994;14;0.8525902796149752
3987;2015.9166666666667;AK;40.050000000000004;3.0746;322572.4629859991;0.0;16.230056;81354.163;274111.16300000006;24.0;599156.6699999999;7;0.13578111881822164
3988;2015.9166666666667;AL;40.05;3.074600000000001;322572.46298599907;0.0;0.0;2488398.429;4688469.050999999;60.0;12519004.551000006;17;0.19876967205042106
3989;2015.9166666666667;AR;40.050000000000004;3.0746;322572.4629859991;0.9269999999999999;0.0;1057321.9870000002;927642.3139999999;32.0;3828112.1660000007;6;0.2761993225775297
3990;2015.9166666666667;AZ;40.050000000000004;3.0746;322572.4629859991;202.53004800000002;55.05963400000001;2751786.163;2345412.835;57.0;8894095.042000003;9;0.3093947332477807
3991;2015.9166666666667;CA;40.05;3.0746;322572.4629859991;874.5202159999996;912.0928329999999;600.131;9299636.126000004;448.0;15300349.309000017;5;3.92233528712308e-05
3992;2015.9166666666667;CO;40.05;3.074600000000001;322572.46298599907;23.56218000000001;871.0465710000003;2829158.678;1103227.653;58.0;5001982.393000003;16;0.5656074843364604
3993;2015.9166666666667;CT;40.050000000000004;3.0746;322572.4629859991;1.038969;0.0;-3191.484;1663697.658;54.0;3380551.7959999996;7;-0.0009440719126907885
3994;2015.9166666666667;DE;40.05;3.0746;322572.4629859991;3.629116;0.544939;1086.151;386530.6;15.0;431118.05600000004;3;0.0025193818372571245
3995;2015.9166666666667;FL;40.04999999999998;3.074600000000002;322572.462985999;7.792232000000003;0.0;2759090.4609999997;12092909.707999995;150.0;18327081.538000003;23;0.15054718097255182
3996;2015.9166666666667;GA;40.04999999999998;3.074600000000002;322572.462985999;16.683533000000008;0.0;1667117.4859999998;3417810.904000001;61.0;9017870.747000003;24;0.18486819480691757
3997;2015.9166666666667;HI;40.05;3.0746;322572.4629859991;3.864388;62.432231;119545.919;;;852806.529;4;0.14017941342473
3998;2015.9166666666667;IA;40.049999999999976;3.0746000000000024;322572.4629859993;0.0;1836.616886999998;1942561.1300000004;257973.12399999998;85.0;4603586.8549999995;37;0.4219668687015574
3999;2015.9166666666667;ID;40.05;3.0746;322572.4629859991;0.0;278.3340919999999;8632.943;413262.27400000003;13.0;1259205.2810000002;4;0.006855866259665089
4000;2015.9166666666667;IL;40.049999999999976;3.0746000000000024;322572.46298599924;2.9901600000000017;1315.7290219999998;4492126.983999999;1100303.4440000001;120.0;15735589.88699999;36;0.2854756012490631
4001;2015.9166666666667;IN;40.049999999999976;3.0746000000000024;322572.4629859993;10.296018000000002;579.5097129999998;4953222.206;1742917.3769999999;56.0;7683384.689000001;38;0.6446666939755513
4002;2015.9166666666667;KS;40.050000000000004;3.0746;322572.46298599907;0.11295900000000002;1244.8171990000003;1499350.0010000002;45270.364000000016;96.0;3711656.470999997;12;0.4039571045205173
4003;2015.9166666666667;KY;40.04999999999998;3.074600000000002;322572.462985999;0.0;0.0;5085847.258999999;500431.17100000003;21.0;6064536.338999998;25;0.8386209554543821
4004;2015.9166666666667;LA;40.050000000000004;3.0746;322572.4629859991;0.0;0.0;931875.518;6017358.277999999;98.0;8912481.440000001;9;0.10455848062893693
4005;2015.9166666666667;MA;40.05;3.0746;322572.4629859991;28.003983;19.850703;162824.901;1234517.7139999997;68.0;2193065.0640000007;4;0.0742453580939448
4006;2015.9166666666667;MD;40.05;3.074600000000001;322572.46298599907;4.6093589999999995;55.173;501753.22599999997;297582.26200000005;30.0;2296611.3189999983;15;0.21847546506845392
4007;2015.9166666666667;ME;40.05;3.0746;322572.4629859991;0.0;135.979437;6273.592000000001;244128.404;17.0;978713.525;5;0.006410039137857015
4008;2015.9166666666667;MI;40.04999999999997;3.0746000000000024;322572.4629859994;0.1356380000000001;495.74828500000024;3993427.975;1997877.8419999997;110.0;9224307.168000005;47;0.43292443565339844
