;Year;Month;Plant_Id;Capacity_MW
2;2015;3;8.0;983.7777777777777
3;2015;4;8.0;996.3333333333334
4;2015;5;8.0;1008.8888888888889
5;2015;6;8.0;1021.4444444444445
6;2015;7;8.0;1034.0
7;2015;8;8.0;1034.0
8;2015;9;8.0;1034.0
9;2015;10;8.0;1034.0
10;2015;11;8.0;1034.0
11;2015;12;8.0;1034.0
12;2016;1;8.0;1034.0
13;2016;2;8.0;1034.0
14;2016;3;8.0;1034.0
15;2016;4;8.0;1034.0
16;2016;5;8.0;1034.0
17;2016;6;8.0;1034.0
18;2016;7;8.0;1034.0
19;2016;8;8.0;1034.0
20;2016;9;8.0;1034.0
21;2016;10;8.0;1034.0
22;2016;11;8.0;1034.0
23;2016;12;8.0;1034.0
24;2017;1;8.0;1034.0
25;2017;2;8.0;1034.0
26;2017;3;8.0;1034.0
27;2017;4;8.0;1053.7
28;2017;5;8.0;1053.7
29;2017;6;8.0;1034.0
30;2017;7;8.0;1053.7
31;2017;8;8.0;1053.7
32;2017;9;8.0;1053.7
33;2017;10;8.0;1053.7
34;2017;11;8.0;1053.7
35;2017;12;8.0;1053.7
36;2018;1;8.0;1053.7
37;2018;2;8.0;1053.7
38;2018;3;8.0;1053.7
39;2018;4;8.0;1053.7
40;2018;5;8.0;1053.7
41;2018;6;8.0;1062.7
42;2018;7;8.0;1062.7
43;2018;8;8.0;1053.7
44;2018;9;8.0;1062.7
45;2018;10;8.0;1062.7
46;2018;11;8.0;1062.7
47;2018;12;8.0;1062.7
48;2019;1;8.0;1062.7
49;2019;2;8.0;1062.7
50;2019;3;8.0;1062.7
51;2019;4;8.0;1048.194871794872
52;2019;5;8.0;1033.6897435897436
53;2019;6;8.0;1019.1846153846154
54;2019;7;8.0;1004.6794871794872
55;2019;8;8.0;990.174358974359
56;2019;9;8.0;975.6692307692308
57;2019;10;8.0;961.1641025641026
58;2019;11;8.0;946.6589743589744
59;2019;12;8.0;932.1538461538462
60;2020;1;8.0;917.648717948718
61;2020;2;8.0;903.1435897435897
62;2020;3;8.0;888.6384615384616
63;2020;4;8.0;874.1333333333333
64;2020;5;8.0;859.6282051282051
65;2020;6;8.0;845.123076923077
66;2020;7;8.0;830.6179487179487
67;2020;8;8.0;816.1128205128205
68;2020;9;8.0;801.6076923076923
69;2020;10;8.0;787.1025641025641
70;2020;11;8.0;772.5974358974358
71;2020;12;8.0;758.0923076923077
72;2021;1;8.0;743.5871794871795
73;2021;2;8.0;729.0820512820512
74;2021;3;8.0;714.5769230769231
75;2021;4;8.0;700.0717948717949
76;2021;5;8.0;685.5666666666666
77;2021;6;8.0;671.0615384615385
78;2021;7;8.0;656.5564102564102
79;2021;8;8.0;642.051282051282
80;2021;9;8.0;627.5461538461539
81;2021;10;8.0;613.0410256410256
82;2021;11;8.0;598.5358974358974
0;2015;1;10.0;584.0307692307692
1;2015;2;10.0;569.525641025641
2;2015;3;10.0;555.0205128205127
3;2015;4;10.0;540.5153846153846
4;2015;5;10.0;526.0102564102564
5;2015;6;10.0;511.50512820512813
6;2015;7;10.0;497.0
7;2015;8;10.0;497.0
8;2015;9;10.0;497.0
9;2015;10;10.0;497.0
10;2015;11;10.0;497.0
11;2015;12;10.0;497.0
12;2016;1;10.0;497.0
13;2016;2;10.0;497.0
14;2016;3;10.0;497.0
15;2016;4;10.0;497.0
16;2016;5;10.0;497.0
17;2016;6;10.0;497.0
18;2016;7;10.0;497.0
19;2016;8;10.0;497.0
20;2016;9;10.0;497.0
21;2016;10;10.0;497.0
22;2016;11;10.0;497.0
23;2016;12;10.0;497.0
24;2017;1;10.0;497.0
25;2017;2;10.0;497.0
26;2017;3;10.0;497.0
27;2017;4;10.0;518.6666666666666
28;2017;5;10.0;540.3333333333334
29;2017;6;10.0;562.0
30;2017;7;10.0;583.6666666666666
31;2017;8;10.0;605.3333333333334
32;2017;9;10.0;627.0
33;2017;10;10.0;648.6666666666667
34;2017;11;10.0;670.3333333333334
35;2017;12;10.0;692.0
36;2018;1;10.0;713.6666666666667
37;2018;2;10.0;735.3333333333334
38;2018;3;10.0;757.0
39;2018;4;10.0;778.6666666666667
40;2018;5;10.0;800.3333333333334
41;2018;6;10.0;822.0
42;2018;7;10.0;843.6666666666667
43;2018;8;10.0;865.3333333333334
44;2018;9;10.0;887.0
45;2018;10;10.0;908.6666666666667
46;2018;11;10.0;930.3333333333334
47;2018;12;10.0;952.0
48;2019;1;10.0;973.6666666666667
49;2019;2;10.0;995.3333333333334
50;2019;3;10.0;1017.0
51;2019;4;10.0;1038.6666666666667
52;2019;5;10.0;1060.3333333333335
53;2019;6;10.0;1082.0
54;2019;7;10.0;1103.6666666666667
55;2019;8;10.0;1125.3333333333335
56;2019;9;10.0;1147.0
