;Year;Energy Source;Capacity;Technology
25;2012;SUB;138331.40000000008;Conventional Steam Coal
26;2012;SUN;3214.9000000000005;Solar Photovoltaic
29;2012;WC;1911.3;Conventional Steam Coal
33;2012;WND;59629.400000000074;Onshore Wind Turbine
2;2015;BIT;147606.5999999999;Conventional Steam Coal
9;2015;LIG;12364.300000000003;Conventional Steam Coal
12;2015;NG;503936.9000000008;Natural Gas Steam Turbine
22;2015;RC;62.5;Conventional Steam Coal
27;2015;SUB;141930.89999999988;Conventional Steam Coal
28;2015;SUN;13758.299999999996;Solar Photovoltaic
31;2015;WC;1828.1;Conventional Steam Coal
35;2015;WND;73393.19999999997;Onshore Wind Turbine
2;2008;BIT;193399.20000000024;Conventional Steam Coal
9;2008;LIG;15151.2;Conventional Steam Coal
11;2008;NG;477520.2;Natural Gas Steam Turbine
22;2008;SUB;133437.10000000003;Conventional Steam Coal
23;2008;SUN;539.3000000000004;Solar Photovoltaic
26;2008;WC;2162.1;Conventional Steam Coal
30;2008;WND;25045.10000000002;Onshore Wind Turbine
2;2006;BIT;184190.80000000022;Conventional Steam Coal
9;2006;LIG;15151.2;Conventional Steam Coal
11;2006;NG;461138.19999999925;Natural Gas Steam Turbine
22;2006;SUB;132259.7;Conventional Steam Coal
23;2006;SUN;411.70000000000005;Solar Photovoltaic
26;2006;WC;2084.2;Conventional Steam Coal
30;2006;WND;11384.999999999985;Onshore Wind Turbine
2;2001;BIT;4965510.900000133;Conventional Steam Coal
10;2001;LIG;306698.70000000065;Conventional Steam Coal
12;2001;NG;5513451.299999613;Natural Gas Steam Turbine
22;2001;SUB;1772381.1000000192;Conventional Steam Coal
23;2001;SUN;8696.100000000004;Solar Photovoltaic
26;2001;WC;24294.90000000002;Conventional Steam Coal
30;2001;WND;82284.29999999808;Onshore Wind Turbine
2;2007;BIT;186090.1000000002;Conventional Steam Coal
9;2007;LIG;15151.2;Conventional Steam Coal
11;2007;NG;470045.0999999997;Natural Gas Steam Turbine
22;2007;SUB;132222.80000000002;Conventional Steam Coal
23;2007;SUN;502.9;Solar Photovoltaic
26;2007;WC;2112.2000000000003;Conventional Steam Coal
30;2007;WND;16648.899999999987;Onshore Wind Turbine
2;2009;BIT;186235.0000000002;Conventional Steam Coal
9;2009;LIG;14786.2;Conventional Steam Coal
11;2009;NG;459406.5000000011;Natural Gas Steam Turbine
22;2009;SUB;135568.00000000003;Conventional Steam Coal
23;2009;SUN;640.1999999999999;Solar Photovoltaic
26;2009;WC;2134.1;Conventional Steam Coal
30;2009;WND;34683.20000000003;Onshore Wind Turbine
